Radius,Calc_Radius,Lambda,Tau,Status
8.00,10.90,1.00,0.50,Opened
8.00,10.29,2.18,0.50,Opened
8.00,10.20,3.37,0.50,Opened
8.00,9.49,4.55,0.50,Opened
8.00,8.84,5.74,0.50,Closed
8.00,8.59,6.92,0.50,Closed
8.00,8.06,8.11,0.50,Closed
8.00,7.97,9.29,0.50,Closed
8.00,7.90,10.47,0.50,Closed
8.00,7.73,11.66,0.50,Closed
8.00,7.94,12.84,0.50,Closed
8.00,7.45,14.03,0.50,Closed
8.00,7.56,15.21,0.50,Closed
8.00,7.51,16.39,0.50,Closed
8.00,7.51,17.58,0.50,Closed
8.00,7.52,18.76,0.50,Closed
8.00,7.44,19.95,0.50,Closed
8.00,7.38,21.13,0.50,Closed
8.00,7.24,22.32,0.50,Closed
8.00,7.34,23.50,0.50,Closed
8.00,11.37,1.00,1.00,Opened
8.00,11.37,2.18,1.00,Opened
8.00,11.52,3.37,1.00,Opened
8.00,10.91,4.55,1.00,Opened
8.00,10.85,5.74,1.00,Opened
8.00,10.93,6.92,1.00,Opened
8.00,10.22,8.11,1.00,Opened
8.00,10.02,9.29,1.00,Opened
8.00,9.07,10.47,1.00,Closed
8.00,8.86,11.66,1.00,Closed
8.00,8.15,12.84,1.00,Closed
8.00,8.28,14.03,1.00,Closed
8.00,7.96,15.21,1.00,Closed
8.00,7.78,16.39,1.00,Closed
8.00,7.69,17.58,1.00,Closed
8.00,7.65,18.76,1.00,Closed
8.00,7.49,19.95,1.00,Closed
8.00,7.46,21.13,1.00,Closed
8.00,7.36,22.32,1.00,Closed
8.00,7.30,23.50,1.00,Closed
8.00,11.61,1.00,1.50,Opened
8.00,11.64,2.18,1.50,Opened
8.00,11.67,3.37,1.50,Opened
8.00,11.41,4.55,1.50,Opened
8.00,11.59,5.74,1.50,Opened
8.00,11.45,6.92,1.50,Opened
8.00,11.48,8.11,1.50,Opened
8.00,11.28,9.29,1.50,Opened
8.00,11.01,10.47,1.50,Opened
8.00,10.30,11.66,1.50,Opened
8.00,10.61,12.84,1.50,Opened
8.00,9.91,14.03,1.50,Closed
8.00,9.61,15.21,1.50,Closed
8.00,9.37,16.39,1.50,Closed
8.00,8.06,17.58,1.50,Closed
8.00,7.92,18.76,1.50,Closed
8.00,7.61,19.95,1.50,Closed
8.00,7.82,21.13,1.50,Closed
8.00,7.78,22.32,1.50,Closed
8.00,7.54,23.50,1.50,Closed
8.00,11.75,1.00,2.00,Opened
8.00,11.80,2.18,2.00,Opened
8.00,11.75,3.37,2.00,Opened
8.00,11.70,4.55,2.00,Opened
8.00,11.75,5.74,2.00,Opened
8.00,11.81,6.92,2.00,Opened
8.00,11.65,8.11,2.00,Opened
8.00,11.61,9.29,2.00,Opened
8.00,11.66,10.47,2.00,Opened
8.00,11.60,11.66,2.00,Opened
8.00,11.55,12.84,2.00,Opened
8.00,11.45,14.03,2.00,Opened
8.00,11.36,15.21,2.00,Opened
8.00,11.17,16.39,2.00,Opened
8.00,10.24,17.58,2.00,Closed
8.00,9.27,18.76,2.00,Closed
8.00,8.83,19.95,2.00,Closed
8.00,8.58,21.13,2.00,Closed
8.00,8.30,22.32,2.00,Closed
8.00,7.76,23.50,2.00,Closed
8.00,11.84,1.00,2.50,Opened
8.00,11.82,2.18,2.50,Opened
8.00,11.82,3.37,2.50,Opened
8.00,11.87,4.55,2.50,Opened
8.00,11.84,5.74,2.50,Opened
8.00,11.73,6.92,2.50,Opened
8.00,11.77,8.11,2.50,Opened
8.00,11.82,9.29,2.50,Opened
8.00,11.69,10.47,2.50,Opened
8.00,11.80,11.66,2.50,Opened
8.00,11.69,12.84,2.50,Opened
8.00,11.74,14.03,2.50,Opened
8.00,11.58,15.21,2.50,Opened
8.00,11.66,16.39,2.50,Opened
8.00,11.49,17.58,2.50,Opened
8.00,11.33,18.76,2.50,Opened
8.00,11.45,19.95,2.50,Closed
8.00,10.61,21.13,2.50,Closed
8.00,10.87,22.32,2.50,Closed
8.00,9.81,23.50,2.50,Closed
